Columns,Slope,std
501,1.8352029563352063e-09,4.321015789294265e-11
1002,1.850114962539581e-09,2.842845552295844e-11
1503,1.8060335613839285e-09,3.0018423209912504e-11
2004,1.8269724526498757e-09,2.811970499371452e-11
2505,1.8174322487668597e-09,3.179044778952701e-11
3006,1.8178069068210579e-09,2.4635121331473624e-11
3507,1.8186257858071327e-09,2.7501834250482394e-11
4008,1.8220053351389984e-09,2.8044443131410242e-11
4509,1.8196877921205931e-09,2.3189892663768777e-11
5010,1.8262715528950982e-09,2.512688490324983e-11
5511,1.8241586466096952e-09,2.759499027781931e-11
6012,1.8248476558052166e-09,2.629546363159632e-11
6513,1.8277884555213759e-09,2.64500149755293e-11
7014,1.8233027382766895e-09,2.6193470313793387e-11
7515,1.8304430777158257e-09,2.6617263327654287e-11
8016,1.8230715512942087e-09,2.5983462500781513e-11
8517,1.8310894586636587e-09,2.7052944557834607e-11
9018,1.8258558192412087e-09,2.697501783505911e-11
9519,1.8371078024695506e-09,2.697484550949108e-11